SensorName,FrameIndex,Theta,Phi
Hips,1,0,0
LeftFinger2Metacarpal,996,-2,515998,1,13996
LeftFinger2Proximal,996,0,6806705,1,353033
LeftFinger2Medial,996,0,6844649,1,353031
LeftFinger2Distal,996,0,6874545,1,353032
LeftFinger2Tip,996,0,6874526,1,353032
LeftFinger3Metacarpal,996,0,6162988,1,213524
LeftFinger3Proximal,996,0,6677561,1,338595
LeftFinger3Medial,996,0,6614477,1,338596
LeftFinger3Distal,996,0,655938,1,338596
LeftFinger3Tip,996,0,6559379,1,338596
LeftFinger4Metacarpal,996,0,6071318,1,212867
LeftFinger4Proximal,996,0,6588624,1,303767
LeftFinger4Medial,996,0,6363456,1,303768
LeftFinger4Distal,996,0,6178054,1,303769
LeftFinger4Tip,996,0,6178055,1,303769
LeftFinger5Metacarpal,996,0,5979554,1,138332
LeftFinger5Proximal,996,-2,482146,1,251708
LeftFinger5Medial,996,0,6326818,1,251708
LeftFinger5Distal,996,-2,529203,1,251708
LeftFinger5Tip,996,-2,529203,1,251706
Neck,996,-1,47081,0,04225197
Head,996,-1,590628,0,07667039
HeadTip,996,-1,590628,0,07667039
RightShoulder,996,0,01649331,-0,1338849
RightArm,996,-0,8130003,-1,366383
RightForeArm,996,-0,7250724,-1,429224
RightHand,996,-0,7068986,-1,40465
RightFinger1Metacarpal,996,-1,269822,-0,4621051
RightFinger1Proximal,996,1,791461,-0,4871037
RightFinger1Distal,996,-1,361916,-0,472663
RightFinger1Tip,996,-1,361916,-0,4726628
RightFinger2Metacarpal,996,2,429422,-1,299369
RightFinger2Proximal,996,2,388694,-1,476596
RightFinger2Medial,996,-0,764598,-1,476598
RightFinger2Distal,996,2,364707,-1,476598
RightFinger2Tip,996,2,364707,-1,4766
RightFinger3Metacarpal,996,-0,7068987,-1,404651
RightFinger3Proximal,996,2,388969,-1,509482
RightFinger3Medial,996,-0,7442895,-1,509486
RightFinger3Distal,996,2,411861,-1,509489
RightFinger3Tip,996,2,41186,-1,509487
RightFinger4Metacarpal,996,-0,7016569,-1,36601
RightFinger4Proximal,996,2,424507,-1,443006
RightFinger4Medial,996,-0,7034089,-1,443007
RightFinger4Distal,996,2,460831,-1,443013
RightFinger4Tip,996,2,460831,-1,443012
RightFinger5Metacarpal,996,-0,6963643,-1,229225
RightFinger5Proximal,996,2,424019,-1,391811
RightFinger5Medial,996,-0,6787559,-1,391812
RightFinger5Distal,996,2,504011,-1,391816
RightFinger5Tip,996,2,504011,-1,391816
Hips,1309,0,0
LeftThigh,1309,0,809625,1,393518
LeftShin,1309,0,846444,1,31439
LeftFoot,1309,-1,540954,-0,1406989
LeftToe,1309,-1,54053,-0,1406988
LeftToeTip,1309,-1,54053,-0,1406988
RightThigh,1309,-0,7312859,-1,456053
RightShin,1309,-0,6528305,-1,200717
RightFoot,1309,-1,400488,-0,3244987
RightToe,1309,-1,400593,-0,3244986
RightToeTip,1309,-1,400593,-0,3244986
Spine1,1309,0,4570644,0,005434155
Spine2,1309,0,4570566,0,01094868
Spine3,1309,0,4570534,0,01655924
Spine4,1309,0,4570534,0,01655924
LeftShoulder,1309,-0,1804965,-0,01912487
LeftArm,1309,0,7226297,1,440107
LeftForeArm,1309,0,6371084,1,269639
LeftHand,1309,0,629634,1,158486
